tag3	tag1	script	region	lcid	source
unx		Deva			cldr
unx		Beng			cldr
	ur	Arab			cldr
	uz	Latn			cldr
	uz	Cyrl			cldr
	uz	Arab			cldr
vai		Vaii			cldr
vai		Latn			cldr
	ve	Latn			cldr
vec		Latn			cldr
vep		Latn			cldr
	vi	Latn			cldr
vic		Latn			cldr
vls		Latn			cldr
vmf		Latn			cldr
vmw		Latn			cldr
vro		Latn			cldr
vun		Latn			cldr
	wa	Latn			cldr
wae		Latn			cldr
wal		Ethi			cldr
war		Latn			cldr
was		Latn			cldr
wbp		Latn			cldr
wbq		Telu			cldr
wbr		Deva			cldr
wls		Latn			cldr
wni		Arab			cldr
	wo	Latn			cldr
wtm		Deva			cldr
wuu		Hans			cldr
xal		Cyrl			cldr
xav		Latn			cldr
	xh	Latn			cldr
xmf		Geor			cldr
xnr		Deva			cldr
xog		Latn			cldr
xsr		Deva			cldr
yao		Latn			cldr
yap		Latn			cldr
yav		Latn			cldr
ybb		Latn			cldr
	yi	Hebr			cldr
	yo	Latn			cldr
yrk		Cyrl			cldr
yrl		Latn			cldr
yua		Latn			cldr
yue		Hant			cldr
yue		Hans			cldr
	za	Latn			cldr
zag		Latn			cldr
zap		Latn			cldr
zdj		Arab			cldr
zea		Latn			cldr
zgh		Tfng			cldr
	zh	Hant			cldr
	zh	Hans			cldr
zmi		Latn			cldr
	zu	Latn			cldr
zun		Latn			cldr
zza		Latn			cldr
vot		Latn			giellatekno
lut		Latn			giellatekno
ciw		Latn			giellatekno
bxr		Cyrl			giellatekno
ndl		Latn			giellatekno
nio		Cyrl			giellatekno
tau		Latn			giellatekno
liv		Latn			giellatekno
xwo		Mong			giellatekno
sto		Latn			giellatekno
